number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
36,0.8906099231110732,0.052972165869933724,0.6737708397475364,logloss,0.017922969118099007,0.07092085336888562,3,110,binary:logistic,0.8376759335315146,gpu_hist,COMPLETE
37,0.8932409072832996,0.016481694233899287,0.42424814265072414,logloss,0.0038914126287827914,0.0326932573046892,7,203,binary:logistic,0.6117590177742006,gpu_hist,COMPLETE
38,0.8943803175615148,0.0038970212871292037,0.5815324263457108,logloss,0.04222254313272886,0.016317254783402842,15,161,binary:logistic,0.8870135189711869,gpu_hist,COMPLETE
39,0.8951832980044867,0.03678581094898754,0.5235143468681668,logloss,0.3475800318116228,0.024536711170294385,11,84,binary:logistic,0.9522294151112282,gpu_hist,COMPLETE
40,0.8952428715087284,0.027719361937410956,0.5266389404305867,logloss,0.39176582773263546,0.025272329918716592,20,76,binary:logistic,0.6955733642347455,gpu_hist,COMPLETE
41,0.8954040394604221,0.03806604290178301,0.6304811150782159,logloss,0.5615530209138998,0.02459021599917822,20,82,binary:logistic,0.6909517458012554,gpu_hist,COMPLETE
42,0.8950242104042293,0.03552818595103579,0.5968593739057341,logloss,0.33967637133365947,0.025045245225814753,20,65,binary:logistic,0.6732904547012069,gpu_hist,COMPLETE
43,0.8953941486289299,0.06687653978358275,0.6317497262171664,logloss,0.7669959052932231,0.012203374862065753,20,17,binary:logistic,0.59678730111394,gpu_hist,COMPLETE
44,0.8944811574773579,0.07009344831071788,0.6334030129137799,logloss,0.6140524517497614,0.011389616545317982,20,6,binary:logistic,0.5053769408548985,gpu_hist,COMPLETE
45,0.8928918020356256,0.21885027022094086,0.6658174727467324,logloss,2.4212197628223415,0.008173897616926738,20,77,binary:logistic,0.6001730107935572,gpu_hist,COMPLETE
46,0.8901851627754633,0.020185374744804637,0.7049826796080753,logloss,0.5508342343383575,0.00459150415282256,20,45,binary:logistic,0.45528514261624387,gpu_hist,COMPLETE
